LABEL,TEXT,URL,EMAIL,PHONE
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out,No,No,No
spam,dear surinder singh sokhi  chinos are central to us find out why  ur nearest scullers store also  grab some exciting offers shop for k  get  off  k  get  off  k  get  off valid till st may not valid in kerala know more at httpsgooglrjqqz tc,No,No,No
spam,"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321.",No,No,Yes
smishing,Thanks for your Spam SMS report The ACMA will only contact you if more info be require www.spam.acma.gov.au Privacy info www.acma.gov.au/ privacy-policy,Yes,No,No
spam,calling all night shoppers  get rs  off   cashback via freecharge till  am tonight code super men httpmsgmnam women httpmsgmnam,No,No,No
ham,Wat's da model num of ur phone?,No,No,No
spam,revive your skin with housejoys skin brightening facials  detan get rs cashback on orders above  use code bt dwnld httpbitlyhjapp tc,No,No,No
ham,Hey are we going for the lo lesson or gym?,No,No,No
spam,Make Australia Great Fast train for Melbourne X hour to CBD from up to 300kms away Vote X United Australia Party Clive Palmer Auth http://bit.ly/ 2QjGAUM,Yes,No,No
spam,hurry last day of month end sale on askmegrocery rs off on order of  use flat rs off on order of  use flat visit httpgooglhsctrm,No,No,No
smishing,Alert A Your Application for ICICI Credit Card be pending Apply avail personalise Offers bnkg.in/5fzMH5f,No,No,No
smishing,Dear HDFC customer your bank Account will be blocked! Today so please update your PAN CARD click here https:// hdfcshrp-tech.preview-domain.com thank you.,No,No,No
ham,Yo sorry was in the shower sup,No,No,No
spam,hi bangalore airport drop  rscaretios book now on wwwakbarcabcom  use promo code ac valid up to  only for online bookings tnc apply,No,No,No
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,No,No,No
ham,Hows the street where the end of library walk is?,No,No,No
smishing,You need to refund the outstanding deficit to qualify for a new airtime loan,No,No,No
spam,Good things coming your way! Uniworths 50th Anniversary sale is LIVE with upto 50% off. Visit nearest Shirt & Tie shop or shop online:https://bit.ly/3HzEGLR,Yes,No,No
ham,Can you plz tell me the answer. Reeta sent via fullonsms.com,No,No,No
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX,No,No,No
spam,Royal Mail Your package Has A ÃÂ£ 2.99 shipping Fee to pay this now please visit www.royalmail billingupdate.com Your package will be return if fee be unpaid,Yes,No,No
spam,order super cool elect works  balrampur gas geyser smart pc  monoblock hppc gas geyser me discount august wale se billing hogi discount vat,No,No,No
ham,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?",No,No,No
smishing,site visit confirmation message thanks for showing intrest in icon dawda city we are waiting confirmation from you on visiting  our project site  request you to reply us via sms or call us at  with your prefered timings,No,No,No
spam,get   off at ebay  off at shopclues  off at clovia and more discount via payzapp checkoutvisitbitlyalloffers,No,No,No
spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)",No,No,No
